Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Observation Frequency
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2309A,Barcellona Pozzo di Gotto,SPO.IT2309A_7_UV-P_2021-04-30_00:00:00,O3,Ozone (air),P1Y-maxP6M-P8H-dmax,Yearly highest six monthly average of daily maximum 8-hour mean concentration,2023,91.609,ug/m3,100.0,1,Background,Suburban,15.2312,38.1603,34.6,Barcellona Pozzo di Gotto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:04:26,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2309A,Barcellona Pozzo di Gotto,SPO.IT2309A_7_UV-P_2021-04-30_00:00:00,O3,Ozone (air),SOMO35,Sum of Ozone Means Over 35 ppb,2023,5567.045,ug/m3,98.36,1,Background,Suburban,15.2312,38.1603,34.6,Barcellona Pozzo di Gotto,,,E1a/validated data AQ e-Reporting,10/02/2026 23:10:44,hour
Italy,NET.IT247A,PROVINCIA DI BARI,IT1818A,ALTAMURA,SPO.IT1818A_7_UV-P_2009-07-01_00:00:00,O3,Ozone (air),P1Y-hrsAbove240,1 year hour exceed 240,2023,0.0,count,96.63,1,Traffic,Suburban,16.5603,40.8278,100.0,Altamura                                                                        ,IT061C1                                           ,69999.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:12,hour
Italy,NET.IT247A,PROVINCIA DI BARI,IT1818A,ALTAMURA,SPO.IT1818A_7_UV-P_2009-07-01_00:00:00,O3,Ozone (air),P1Y-maxP6M-P8H-dmax,Yearly highest six monthly average of daily maximum 8-hour mean concentration,2023,87.779,ug/m3,100.0,1,Traffic,Suburban,16.5603,40.8278,100.0,Altamura                                                                        ,IT061C1                                           ,69999.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:26,hour
Italy,NET.IT247A,PROVINCIA DI BARI,IT1818A,ALTAMURA,SPO.IT1818A_7_UV-P_2009-07-01_00:00:00,O3,Ozone (air),P3Y-dmaxAbove120,Daymax exceed 120 averaged over 3 consecutive years,2023,4.0,count,100.0,1,Traffic,Suburban,16.5603,40.8278,100.0,Altamura                                                                        ,IT061C1                                           ,69999.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:58,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2297A,PA - UNIPA,SPO.IT2297A_7_UV-P_2020-02-28_00:00:00,O3,Ozone (air),P1Y-dx-avg,1 year daymax average,2023,89.085,ug/m3,95.34,1,Background,Urban,13.3465,38.1051,10.0,Palermo                                                                         ,IT005C1                                           ,647422.0,E1a/validated data AQ e-Reporting,10/02/2026 23:03:08,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2297A,PA - UNIPA,SPO.IT2297A_7_UV-P_2020-02-28_00:00:00,O3,Ozone (air),P1Y-hrsAbove180,1 year hour exceed 180,2023,0.0,count,95.17,1,Background,Urban,13.3465,38.1051,10.0,Palermo                                                                         ,IT005C1                                           ,647422.0,E1a/validated data AQ e-Reporting,10/02/2026 23:04:04,hour
Italy,NET.IT250A,RETE REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA DI ARPA SICILIA,IT2297A,PA - UNIPA,SPO.IT2297A_7_UV-P_2020-02-28_00:00:00,O3,Ozone (air),SOMO35,Sum of Ozone Means Over 35 ppb,2023,7230.072,ug/m3,95.34,1,Background,Urban,13.3465,38.1051,10.0,Palermo                                                                         ,IT005C1                                           ,647422.0,E1a/validated data AQ e-Reporting,10/02/2026 23:10:44,hour
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT1121A,Druento - La Mandria,SPO.IT1121A_7_UV-P_2005-04-18_00:00:00,O3,Ozone (air),AOT40c,AOT40 vegetation protection,2023,18560.676,ug/m3,96.47,1,Background,Rural,7.5602,45.1758,335.0,Druento,,,E1a/validated data AQ e-Reporting,10/02/2026 22:18:22,hour
Italy,NET.IT224A,PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA,IT1121A,Druento - La Mandria,SPO.IT1121A_7_UV-P_2005-04-18_00:00:00,O3,Ozone (air),P1Y-dmax-per99,1 year 99 percentile daily 8h maximum,2023,152.667,ug/m3,86.03,1,Background,Rural,7.5602,45.1758,335.0,Druento,,,E1a/validated data AQ e-Reporting,10/02/2026 23:03:04,hour
